date,annualized_returns,cash,daily_pnl,daily_returns,market_value,static_unit_net_value,total_returns,total_value,unit_net_value,units
2005-07-01,-0.378,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-07-04,-0.351,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-07-05,-0.343,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-07-06,-0.335,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-07-07,-0.328,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-07-08,-0.321,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-07-11,-0.301,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-07-12,-0.295,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-07-13,-0.29,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-07-14,-0.284,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-07-15,-0.279,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-07-18,-0.264,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-07-19,-0.259,960507.932,0.0,0.0,0.0,0.961,-0.039,960507.932,0.961,1000000
2005-07-20,-0.259,-242.054,-767.986,-0.001,959982.0,0.961,-0.04,959739.946,0.96,1000000
2005-07-21,-0.264,-242.054,-1658.0,-0.002,958324.0,0.96,-0.042,958081.946,0.958,1000000
2005-07-22,-0.092,-242.054,28186.0,0.029,986510.0,0.958,-0.014,986267.946,0.986,1000000
2005-07-25,-0.098,-242.054,-1658.0,-0.002,984852.0,0.986,-0.015,984609.946,0.985,1000000
2005-07-26,-0.024,-242.054,11606.0,0.012,996458.0,0.985,-0.004,996215.946,0.996,1000000
2005-07-27,0.04,-242.054,9948.0,0.01,1006406.0,0.996,0.006,1006163.946,1.006,1000000
2005-07-28,-0.013,-242.054,-8290.0,-0.008,998116.0,1.006,-0.002,997873.946,0.998,1000000
2005-07-29,-0.101,-242.054,-14922.0,-0.015,983194.0,0.998,-0.017,982951.946,0.983,1000000
2005-08-01,-0.096,-242.054,0.0,0.0,983194.0,0.983,-0.017,982951.946,0.983,1000000
2005-08-02,-0.012,-242.054,14922.0,0.015,998116.0,0.983,-0.002,997873.946,0.998,1000000
2005-08-03,0.065,-242.054,13264.0,0.013,1011380.0,0.998,0.011,1011137.946,1.011,1000000
2005-08-04,0.007,-242.054,-9948.0,-0.01,1001432.0,1.011,0.001,1001189.946,1.001,1000000
2005-08-05,0.184,-242.054,29844.0,0.03,1031276.0,1.001,0.031,1031033.946,1.031,1000000
2005-08-08,0.196,-242.054,3316.0,0.003,1034592.0,1.031,0.034,1034349.946,1.034,1000000
2005-08-09,0.223,-242.054,4974.0,0.005,1039566.0,1.034,0.039,1039323.946,1.039,1000000
2005-08-10,0.25,-242.054,4974.0,0.005,1044540.0,1.039,0.044,1044297.946,1.044,1000000
2005-08-11,0.426,-242.054,28186.0,0.027,1072726.0,1.044,0.072,1072483.946,1.072,1000000
2005-08-12,0.146,-242.054,-44766.0,-0.042,1027960.0,1.072,0.028,1027717.946,1.028,1000000
2005-08-15,0.231,-242.054,16580.0,0.016,1044540.0,1.028,0.044,1044297.946,1.044,1000000
2005-08-16,0.095,-242.054,-24870.0,-0.024,1019670.0,1.044,0.019,1019427.946,1.019,1000000
2005-08-17,0.128,-242.054,6632.0,0.007,1026302.0,1.019,0.026,1026059.946,1.026,1000000
2005-08-18,-0.018,996077.338,-29982.609,-0.029,0.0,1.026,-0.004,996077.338,0.996,1000000
2005-08-19,-0.018,996077.338,0.0,0.0,0.0,0.996,-0.004,996077.338,0.996,1000000
2005-08-22,-0.017,996077.338,0.0,0.0,0.0,0.996,-0.004,996077.338,0.996,1000000
2005-08-23,-0.017,996077.338,0.0,0.0,0.0,0.996,-0.004,996077.338,0.996,1000000
2005-08-24,-0.017,996077.338,0.0,0.0,0.0,0.996,-0.004,996077.338,0.996,1000000
2005-08-25,-0.017,996077.338,0.0,0.0,0.0,0.996,-0.004,996077.338,0.996,1000000
2005-08-26,-0.016,996077.338,0.0,0.0,0.0,0.996,-0.004,996077.338,0.996,1000000
2005-08-29,-0.016,996077.338,0.0,0.0,0.0,0.996,-0.004,996077.338,0.996,1000000
2005-08-30,-0.016,996077.338,0.0,0.0,0.0,0.996,-0.004,996077.338,0.996,1000000
2005-08-31,-0.015,996077.338,0.0,0.0,0.0,0.996,-0.004,996077.338,0.996,1000000
2005-09-01,-0.018,-426.228,-796.566,-0.001,995707.0,0.996,-0.005,995280.772,0.995,1000000
2005-09-02,-0.036,-426.228,-4749.0,-0.005,990958.0,0.995,-0.009,990531.772,0.991,1000000
2005-09-05,-0.006,-426.228,7915.0,0.008,998873.0,0.991,-0.002,998446.772,0.998,1000000
2005-09-06,-0.097,-426.228,-25328.0,-0.025,973545.0,0.998,-0.027,973118.772,0.973,1000000
2005-09-07,-0.063,-426.228,9498.0,0.01,983043.0,0.973,-0.017,982616.772,0.983,1000000
2005-09-08,0.0,-426.228,17413.0,0.018,1000456.0,0.983,0.0,1000029.772,1.0,1000000
2005-09-09,-0.039,-426.228,-11081.0,-0.011,989375.0,1.0,-0.011,988948.772,0.989,1000000
2005-09-12,-0.044,-426.228,-1583.0,-0.002,987792.0,0.989,-0.013,987365.772,0.987,1000000
2005-09-13,0.006,-426.228,14247.0,0.014,1002039.0,0.987,0.002,1001612.772,1.002,1000000
2005-09-14,0.033,-426.228,7915.0,0.008,1009954.0,1.002,0.01,1009527.772,1.01,1000000
2005-09-15,-0.021,-426.228,-15830.0,-0.016,994124.0,1.01,-0.006,993697.772,0.994,1000000
2005-09-16,-0.011,-426.228,3166.0,0.003,997290.0,0.994,-0.003,996863.772,0.997,1000000
2005-09-19,-0.021,-426.228,-3166.0,-0.003,994124.0,0.997,-0.006,993697.772,0.994,1000000
2005-09-20,-0.095,969786.24,-23911.532,-0.024,0.0,0.994,-0.03,969786.24,0.97,1000000
2005-09-21,-0.094,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-09-22,-0.094,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-09-23,-0.093,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-09-26,-0.091,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-09-27,-0.09,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-09-28,-0.089,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-09-29,-0.088,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-09-30,-0.088,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-10,-0.081,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-11,-0.081,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-12,-0.08,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-13,-0.08,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-14,-0.079,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-17,-0.077,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-18,-0.077,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-19,-0.076,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-20,-0.076,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-21,-0.075,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-24,-0.074,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-25,-0.073,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-26,-0.073,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-27,-0.072,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-28,-0.072,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-10-31,-0.071,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-11-01,-0.07,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-11-02,-0.07,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-11-03,-0.069,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-11-04,-0.069,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-11-07,-0.068,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-11-08,-0.067,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-11-09,-0.067,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-11-10,-0.066,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-11-11,-0.066,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-11-14,-0.065,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-11-15,-0.064,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-11-16,-0.064,969786.24,0.0,0.0,0.0,0.97,-0.03,969786.24,0.97,1000000
2005-11-17,-0.065,-565.42,-775.661,-0.001,969576.0,0.97,-0.031,969010.58,0.969,1000000
2005-11-18,-0.029,-565.42,17070.0,0.018,986646.0,0.969,-0.014,986080.58,0.986,1000000
2005-11-21,-0.043,-565.42,-6828.0,-0.007,979818.0,0.986,-0.021,979252.58,0.979,1000000
2005-11-22,-0.091,-565.42,-23898.0,-0.024,955920.0,0.979,-0.045,955354.58,0.955,1000000
2005-11-23,-0.07,-565.42,10242.0,0.011,966162.0,0.955,-0.034,965596.58,0.966,1000000
2005-11-24,-0.056,-565.42,6828.0,0.007,972990.0,0.966,-0.028,972424.58,0.972,1000000
2005-11-25,0.006,-565.42,30726.0,0.032,1003716.0,0.972,0.003,1003150.58,1.003,1000000
2005-11-28,-0.024,-565.42,-15363.0,-0.015,988353.0,1.003,-0.012,987787.58,0.988,1000000
2005-11-29,-0.028,-565.42,-1707.0,-0.002,986646.0,0.988,-0.014,986080.58,0.986,1000000
2005-11-30,-0.007,-565.42,10242.0,0.01,996888.0,0.986,-0.004,996322.58,0.996,1000000
2005-12-01,-0.021,-565.42,-6828.0,-0.007,990060.0,0.996,-0.011,989494.58,0.989,1000000
2005-12-02,-0.011,-565.42,5121.0,0.005,995181.0,0.989,-0.005,994615.58,0.995,1000000
2005-12-05,-0.078,-565.42,-35847.0,-0.036,959334.0,0.995,-0.041,958768.58,0.959,1000000
2005-12-06,-0.033,-565.42,23898.0,0.025,983232.0,0.959,-0.017,982666.58,0.983,1000000
2005-12-07,-0.017,-565.42,8535.0,0.009,991767.0,0.983,-0.009,991201.58,0.991,1000000
2005-12-08,-0.017,-565.42,0.0,0.0,991767.0,0.991,-0.009,991201.58,0.991,1000000
2005-12-09,0.006,-565.42,11949.0,0.012,1003716.0,0.991,0.003,1003150.58,1.003,1000000
2005-12-12,0.012,-565.42,3414.0,0.003,1007130.0,1.003,0.007,1006564.58,1.007,1000000
2005-12-13,0.012,-565.42,0.0,0.0,1007130.0,1.007,0.007,1006564.58,1.007,1000000
2005-12-14,0.067,-565.42,29019.0,0.029,1036149.0,1.007,0.036,1035583.58,1.036,1000000
2005-12-15,0.044,-565.42,-11949.0,-0.012,1024200.0,1.036,0.024,1023634.58,1.024,1000000
2005-12-16,0.047,-565.42,1707.0,0.002,1025907.0,1.024,0.025,1025341.58,1.025,1000000
2005-12-19,0.04,-565.42,-3414.0,-0.003,1022493.0,1.025,0.022,1021927.58,1.022,1000000
2005-12-20,0.071,-565.42,17070.0,0.017,1039563.0,1.022,0.039,1038997.58,1.039,1000000
2005-12-21,0.061,-565.42,-5121.0,-0.005,1034442.0,1.039,0.034,1033876.58,1.034,1000000
2005-12-22,0.061,-565.42,0.0,0.0,1034442.0,1.034,0.034,1033876.58,1.034,1000000
2005-12-23,0.083,-565.42,11949.0,0.012,1046391.0,1.034,0.046,1045825.58,1.046,1000000
2005-12-26,0.112,-565.42,17070.0,0.016,1063461.0,1.046,0.063,1062895.58,1.063,1000000
2005-12-27,0.103,-565.42,-5121.0,-0.005,1058340.0,1.063,0.058,1057774.58,1.058,1000000
2005-12-28,0.093,-565.42,-5121.0,-0.005,1053219.0,1.058,0.053,1052653.58,1.053,1000000
2005-12-29,0.108,-565.42,8535.0,0.008,1061754.0,1.053,0.061,1061188.58,1.061,1000000
2005-12-30,0.083,-565.42,-13656.0,-0.013,1048098.0,1.061,0.048,1047532.58,1.048,1000000
2006-01-04,0.122,-565.42,23898.0,0.023,1071996.0,1.048,0.071,1071430.58,1.071,1000000
2006-01-05,0.134,-565.42,6828.0,0.006,1078824.0,1.071,0.078,1078258.58,1.078,1000000
2006-01-06,0.16,-565.42,15363.0,0.014,1094187.0,1.078,0.094,1093621.58,1.094,1000000
2006-01-09,0.152,-565.42,-3414.0,-0.003,1090773.0,1.094,0.09,1090207.58,1.09,1000000
2006-01-10,0.119,-565.42,-18777.0,-0.017,1071996.0,1.09,0.071,1071430.58,1.071,1000000
2006-01-11,0.104,-565.42,-8535.0,-0.008,1063461.0,1.071,0.063,1062895.58,1.063,1000000
2006-01-12,0.115,1069500.987,6605.407,0.006,0.0,1.063,0.07,1069500.987,1.07,1000000
2006-01-13,0.114,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-01-16,0.113,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-01-17,0.112,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-01-18,0.112,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-01-19,0.111,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-01-20,0.11,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-01-23,0.109,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-01-24,0.109,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-01-25,0.108,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-02-06,0.103,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-02-07,0.102,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-02-08,0.102,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-02-09,0.101,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-02-10,0.101,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-02-13,0.1,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-02-14,0.099,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-02-15,0.099,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-02-16,0.099,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-02-17,0.098,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-02-20,0.097,1069500.987,0.0,0.0,0.0,1.07,0.07,1069500.987,1.07,1000000
2006-02-21,0.095,-779.553,-855.54,-0.001,1069425.0,1.07,0.069,1068645.447,1.069,1000000
2006-02-22,0.095,-779.553,0.0,0.0,1069425.0,1.069,0.069,1068645.447,1.069,1000000
2006-02-23,0.143,-779.553,34650.0,0.032,1104075.0,1.069,0.103,1103295.447,1.103,1000000
2006-02-24,0.147,-779.553,3150.0,0.003,1107225.0,1.103,0.106,1106445.447,1.106,1000000
2006-02-27,0.1,-779.553,-33075.0,-0.03,1074150.0,1.106,0.073,1073370.447,1.073,1000000
2006-02-28,0.104,-779.553,3150.0,0.003,1077300.0,1.073,0.077,1076520.447,1.077,1000000
2006-03-01,0.09,-779.553,-9450.0,-0.009,1067850.0,1.077,0.067,1067070.447,1.067,1000000
2006-03-02,0.043,-779.553,-34650.0,-0.032,1033200.0,1.067,0.032,1032420.447,1.032,1000000
2006-03-03,0.036,1027416.357,-5004.09,-0.005,0.0,1.032,0.027,1027416.357,1.027,1000000
2006-03-06,0.036,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-07,0.036,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-08,0.036,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-09,0.036,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-10,0.035,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-13,0.035,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-14,0.035,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-15,0.035,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-16,0.035,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-17,0.035,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-20,0.034,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-21,0.034,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-22,0.034,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-23,0.034,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-24,0.034,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-27,0.033,1027416.357,0.0,0.0,0.0,1.027,0.027,1027416.357,1.027,1000000
2006-03-28,0.032,-278.142,-821.498,-0.001,1026873.0,1.027,0.027,1026594.858,1.027,1000000
2006-03-29,0.054,-278.142,17677.0,0.017,1044550.0,1.027,0.044,1044271.858,1.044,1000000
2006-03-30,0.028,-278.142,-20891.0,-0.02,1023659.0,1.044,0.023,1023380.858,1.023,1000000
2006-03-31,0.028,-278.142,0.0,0.0,1023659.0,1.023,0.023,1023380.858,1.023,1000000
2006-04-03,0.036,-278.142,6428.0,0.006,1030087.0,1.023,0.03,1029808.858,1.03,1000000
2006-04-04,0.066,-278.142,25712.0,0.025,1055799.0,1.03,0.056,1055520.858,1.056,1000000
2006-04-05,0.072,-278.142,4821.0,0.005,1060620.0,1.056,0.06,1060341.858,1.06,1000000
2006-04-06,0.056,-278.142,-12856.0,-0.012,1047764.0,1.06,0.047,1047485.858,1.047,1000000
2006-04-07,0.046,-278.142,-8035.0,-0.008,1039729.0,1.047,0.039,1039450.858,1.039,1000000
2006-04-10,0.097,-278.142,43389.0,0.042,1083118.0,1.039,0.083,1082839.858,1.083,1000000
2006-04-11,0.131,-278.142,28926.0,0.027,1112044.0,1.083,0.112,1111765.858,1.112,1000000
2006-04-12,0.096,-278.142,-28926.0,-0.026,1083118.0,1.112,0.083,1082839.858,1.083,1000000
2006-04-13,0.074,-278.142,-19284.0,-0.018,1063834.0,1.083,0.064,1063555.858,1.064,1000000
2006-04-14,0.116,-278.142,36961.0,0.035,1100795.0,1.064,0.101,1100516.858,1.101,1000000
2006-04-17,0.11,-278.142,-4821.0,-0.004,1095974.0,1.101,0.096,1095695.858,1.096,1000000
2006-04-18,0.094,-278.142,-12856.0,-0.012,1083118.0,1.096,0.083,1082839.858,1.083,1000000
2006-04-19,0.12,-278.142,22498.0,0.021,1105616.0,1.083,0.105,1105337.858,1.105,1000000
2006-04-20,0.103,-278.142,-14463.0,-0.013,1091153.0,1.105,0.091,1090874.858,1.091,1000000
2006-04-21,0.112,-278.142,8035.0,0.007,1099188.0,1.091,0.099,1098909.858,1.099,1000000
2006-04-24,0.049,1043995.776,-54914.083,-0.05,0.0,1.099,0.044,1043995.776,1.044,1000000
2006-04-25,0.049,1043995.776,0.0,0.0,0.0,1.044,0.044,1043995.776,1.044,1000000
2006-04-26,0.049,1043995.776,0.0,0.0,0.0,1.044,0.044,1043995.776,1.044,1000000
2006-04-27,0.048,-539.184,-834.96,-0.001,1043700.0,1.044,0.043,1043160.816,1.043,1000000
2006-04-28,0.131,-539.184,75260.0,0.072,1118960.0,1.043,0.118,1118420.816,1.118,1000000
2006-05-08,0.124,-539.184,-2840.0,-0.003,1116120.0,1.118,0.116,1115580.816,1.116,1000000
2006-05-09,0.204,-539.184,75260.0,0.067,1191380.0,1.116,0.191,1190840.816,1.191,1000000
2006-05-10,0.188,-539.184,-14200.0,-0.012,1177180.0,1.191,0.177,1176640.816,1.177,1000000
2006-05-11,0.192,-539.184,4260.0,0.004,1181440.0,1.177,0.181,1180900.816,1.181,1000000
2006-05-12,0.225,-539.184,31240.0,0.026,1212680.0,1.181,0.212,1212140.816,1.212,1000000
2006-05-15,0.236,-539.184,12780.0,0.011,1225460.0,1.212,0.225,1224920.816,1.225,1000000
2006-05-16,0.171,-539.184,-61060.0,-0.05,1164400.0,1.225,0.164,1163860.816,1.164,1000000
2006-05-17,0.175,-539.184,4260.0,0.004,1168660.0,1.164,0.168,1168120.816,1.168,1000000
2006-05-18,0.156,-539.184,-18460.0,-0.016,1150200.0,1.168,0.15,1149660.816,1.15,1000000
2006-05-19,0.186,-539.184,29820.0,0.026,1180020.0,1.15,0.179,1179480.816,1.179,1000000
2006-05-22,0.17,-539.184,-14200.0,-0.012,1165820.0,1.179,0.165,1165280.816,1.165,1000000
2006-05-23,0.115,1112154.356,-53126.46,-0.046,0.0,1.165,0.112,1112154.356,1.112,1000000
2006-05-24,0.114,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-05-25,0.114,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-05-26,0.114,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-05-29,0.113,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-05-30,0.112,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-05-31,0.112,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-01,0.112,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-02,0.112,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-05,0.111,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-06,0.11,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-07,0.11,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-08,0.11,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-09,0.109,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-12,0.108,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-13,0.108,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-14,0.108,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-15,0.107,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-16,0.107,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-19,0.106,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-20,0.106,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-21,0.106,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-22,0.105,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-23,0.105,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-26,0.104,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-27,0.104,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-28,0.104,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-29,0.103,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-06-30,0.103,1112154.356,0.0,0.0,0.0,1.112,0.112,1112154.356,1.112,1000000
2006-07-03,0.102,-865.348,-889.704,-0.001,1112130.0,1.112,0.111,1111264.652,1.111,1000000
